transaction_id,customer_id,merchant_id,currency,status,timestamp,account_created_at,billing_country,scenario,is_fraud,amount,shipping_country,device_id,ip_address,transaction_hour,transaction_day_of_week,is_weekend,amount_log,customer_velocity_5m,customer_velocity_1h,customer_velocity_24h,device_velocity_5m,device_velocity_1h,ip_velocity_5m,ip_velocity_1h,failed_attempts_1h,customer_avg_amount,customer_amount_deviation,billing_shipping_mismatch,previous_country,country_changed,previous_transaction_time,minutes_since_previous_transaction,device_customer_count,ip_customer_count,customer_device_count,customer_ip_count,shared_device_flag,shared_ip_flag,rule_risk_score,rule_risk_flag,rule_risk_level,risk_reasons,rule_signal_count
txn_955728888081,cust_fc81df20a609,merch_34,USD,success,2026-08-04 22:10:36.298086,2025-11-05T22:06:37.298086,US,account_takeover,0,1171.95,IN,dev_b85cef3692fb,170.103.145.113,22,1,0,7.067277221999022,0,0,0,0,0,0,0,0,1171.95,0.0,1,,0,,-1.0,0,0,0,0,0,0,0.05,0,low,['Billing and shipping country mismatch'],1
txn_4199ef5ba33c,cust_193b89fd05b6,merch_11,USD,success,2026-08-04 22:25:32.298086,2026-05-06T01:06:37.298086,DE,legitimate,0,299.18,DE,dev_3ca2deb9a77b,3.245.100.184,22,1,0,5.704382294728169,0,0,0,0,0,0,0,0,299.18,0.0,0,,0,,-1.0,0,0,0,0,0,0,0.0,0,low,[],0
txn_d943d97a1875,cust_4102be1bcb53,merch_48,USD,success,2026-08-04 22:35:43.298086,2026-02-05T11:06:37.298086,JP,legitimate,0,46.67,JP,dev_4f1dcbf92e45,5.2.158.210,22,1,0,3.864302269216734,0,0,0,0,0,0,0,0,46.67,0.0,0,,0,,-1.0,0,0,0,0,0,0,0.0,0,low,[],0
txn_c22702e86ec4,cust_214456f685e0,merch_21,USD,success,2026-08-04 22:36:17.298086,2025-10-21T18:06:37.298086,GB,legitimate,0,312.27,GB,dev_0625db60ea9b,19.194.72.92,22,1,0,5.747065438505817,0,0,0,0,0,0,0,0,312.27,0.0,0,,0,,-1.0,0,0,0,0,0,0,0.0,0,low,[],0
txn_17571e32b758,cust_1f9e9d6d4f13,merch_11,USD,success,2026-08-04 22:42:51.298086,2025-11-10T00:06:37.298086,GB,legitimate,0,67.55,GB,dev_26faf88af140,32.6.166.162,22,1,0,4.227563406008323,0,0,0,0,0,0,0,0,67.55,0.0,0,,0,,-1.0,0,0,0,0,0,0,0.0,0,low,[],0
txn_7c31c7480213,cust_4399acaf9024,merch_5,USD,success,2026-08-04 22:55:37.298086,2025-10-30T22:06:37.298086,FR,legitimate,0,45.41,FR,dev_d21c7db6cba4,162.243.131.180,22,1,0,3.8375149532530846,0,0,0,0,0,0,0,0,45.41,0.0,0,,0,,-1.0,0,0,0,0,0,0,0.0,0,low,[],0
txn_2e678f788ed0,cust_4af40fb30344,merch_45,USD,success,2026-08-04 23:03:45.298086,2025-11-30T19:06:37.298086,JP,legitimate,0,85.92,JP,dev_98523df65cc2,17.70.138.31,23,1,0,4.464988155388229,0,0,0,0,0,0,0,0,85.92,0.0,0,,0,,-1.0,0,0,0,0,0,0,0.0,0,low,[],0
txn_6ac728ef8d1d,cust_54b9ec503364,merch_10,USD,success,2026-08-04 23:05:33.298086,2026-02-01T10:06:37.298086,FR,legitimate,0,232.22,FR,dev_4d1c8e31c367,213.68.181.17,23,1,0,5.451982214092187,0,0,0,0,0,0,0,0,232.22,0.0,0,,0,,-1.0,0,0,0,0,0,0,0.0,0,low,[],0
txn_20b2a85c0285,cust_4e8620008082,merch_42,USD,failed,2026-08-04 23:16:28.298086,2026-03-22T22:06:37.298086,IN,legitimate,0,304.43,IN,dev_519a922ac28e,50.186.134.227,23,1,0,5.721720619787214,0,0,0,0,0,0,0,0,304.43,0.0,0,,0,,-1.0,0,0,0,0,0,0,0.0,0,low,[],0
txn_a0b81561c1d7,cust_5441b8f20824,merch_23,USD,success,2026-08-04 23:32:41.298086,2025-09-30T12:06:37.298086,US,legitimate,0,328.97,US,dev_22d4c6fc1fa4,23.208.119.35,23,1,0,5.799001741237135,0,0,0,0,0,0,0,0,328.97,0.0,0,,0,,-1.0,0,0,0,0,0,0,0.0,0,low,[],0
txn_ad60c3322979,cust_9856b05a26aa,merch_4,USD,success,2026-08-04 23:41:31.298086,2026-05-30T02:06:37.298086,CA,account_takeover,0,1326.3,US,dev_c8e352659e98,222.74.29.195,23,1,0,7.190902082632157,0,0,0,0,0,0,0,0,1326.3,0.0,1,,0,,-1.0,0,0,0,0,0,0,0.05,0,low,['Billing and shipping country mismatch'],1
txn_a434bd578398,cust_6813ee457194,merch_11,USD,success,2026-08-04 23:48:46.298086,2026-03-16T18:06:37.298086,IN,legitimate,0,70.51,IN,dev_e7fda62859ab,144.239.246.76,23,1,0,4.2698373000603045,0,0,0,0,0,0,0,0,70.51,0.0,0,,0,,-1.0,0,0,0,0,0,0,0.0,0,low,[],0
txn_b6fec19ebbad,cust_8dcf2f4d6661,merch_46,USD,success,2026-08-04 23:49:05.298086,2025-10-12T07:06:37.298086,DE,legitimate,0,86.93,DE,dev_e13bddc67a38,145.106.34.10,23,1,0,4.4765410433909105,0,0,0,0,0,0,0,0,86.93,0.0,0,,0,,-1.0,0,0,0,0,0,0,0.0,0,low,[],0
txn_430ddc10d14d,cust_93e39a0e18c3,merch_44,USD,success,2026-08-04 23:57:10.298086,2026-02-04T07:06:37.298086,FR,legitimate,0,18.98,FR,dev_c6dcd452294b,159.120.111.127,23,1,0,2.9947317732204075,0,0,0,0,0,0,0,0,18.98,0.0,0,,0,,-1.0,0,0,0,0,0,0,0.0,0,low,[],0
txn_e7c2db7a3e7e,cust_efce0e0b7753,merch_44,USD,success,2026-08-05 00:23:32.298086,2026-07-23T19:06:37.298086,DE,legitimate,0,146.18,DE,dev_2f1109df4882,217.140.220.21,0,2,0,4.991656327498453,0,0,0,0,0,0,0,0,146.18,0.0,0,,0,,-1.0,0,0,0,0,0,0,0.0,0,low,[],0
txn_525f801b1c4c,cust_370f08fd7aac,merch_11,USD,success,2026-08-05 00:26:02.298086,2026-03-19T11:06:37.298086,CA,legitimate,0,224.75,CA,dev_62adc6871372,131.230.186.146,0,2,0,5.419428192297095,0,0,0,0,0,0,0,0,224.75,0.0,0,,0,,-1.0,0,0,0,0,0,0,0.0,0,low,[],0
txn_80907e2bc3bf,cust_1eb3280b6e45,merch_10,USD,success,2026-08-05 00:31:29.298086,2026-02-14T19:06:37.298086,DE,legitimate,0,289.08,DE,dev_7a834e3143b2,129.153.198.180,0,2,0,5.670156747006541,0,0,0,0,0,0,0,0,289.08,0.0,0,,0,,-1.0,0,0,0,0,0,0,0.0,0,low,[],0
txn_934dd451bee7,cust_020daccfb712,merch_17,USD,success,2026-08-05 00:33:54.298086,2026-04-04T14:06:37.298086,CA,legitimate,0,79.56,CA,dev_bd936f58b058,38.87.96.190,0,2,0,4.389002248410307,0,0,0,0,0,0,0,0,79.56,0.0,0,,0,,-1.0,0,0,0,0,0,0,0.0,0,low,[],0
txn_796d46fa38ab,cust_1f9e9d6d4f13,merch_14,USD,success,2026-08-05 00:35:49.298086,2025-11-10T00:06:37.298086,GB,legitimate,0,196.45,GB,dev_26faf88af140,32.6.166.162,0,2,0,5.285485387732658,0,0,1,0,0,0,0,0,67.55,1.9082161361954106,0,GB,0,2026-08-04 22:42:51.298086,112.96666666666667,1,1,1,1,1,1,0.0,0,low,[],0
